,Date,Close/Last,Volume,Open,High,Low
0,2022-01-28,170.33,179935700,165.71,170.35,162.8
1,2022-01-27,159.22,121954600,162.45,163.84,158.28
2,2022-01-26,159.69,108275300,163.5,164.3894,157.82
3,2022-01-25,159.78,115798400,158.98,162.76,157.02
4,2022-01-24,161.62,162706700,160.02,162.3,154.7
5,2022-01-21,162.41,122848900,164.415,166.33,162.3
6,2022-01-20,164.51,91420520,166.98,169.68,164.18
7,2022-01-19,166.23,94814990,170.0,171.08,165.94
8,2022-01-18,169.8,91168730,171.51,172.54,169.405
9,2022-01-14,173.07,80440780,171.34,173.78,171.09
10,2022-01-13,172.19,84505760,175.78,176.62,171.79
11,2022-01-12,175.53,74805170,176.12,177.18,174.82
12,2022-01-11,175.08,76138310,172.32,175.18,170.82
13,2022-01-10,172.19,106765600,169.08,172.5,168.17
14,2022-01-07,172.17,86709150,172.89,174.14,171.03
15,2022-01-06,172.0,96903960,172.7,175.3,171.64
16,2022-01-05,174.92,94537600,179.61,180.17,174.64
17,2022-01-04,179.7,99310440,182.63,182.94,179.12
18,2022-01-03,182.01,104701200,177.83,182.88,177.71
19,2021-12-31,177.57,64062260,178.085,179.23,177.26
20,2021-12-30,178.2,59773010,179.47,180.57,178.09
21,2021-12-29,179.38,62348930,179.33,180.63,178.14
22,2021-12-28,179.29,79144340,180.16,181.33,178.53
23,2021-12-27,180.33,74919580,177.085,180.42,177.07
24,2021-12-23,176.28,68356570,175.85,176.8499,175.27
25,2021-12-22,175.64,92135300,173.04,175.86,172.15
26,2021-12-21,172.99,91185910,171.555,173.2,169.12
27,2021-12-20,169.75,107499100,168.28,170.58,167.46
28,2021-12-17,171.14,195923400,169.93,173.47,169.69
29,2021-12-16,172.26,150185800,179.28,181.14,170.75
30,2021-12-15,179.3,131063300,175.11,179.5,172.3108
31,2021-12-14,174.33,139380400,175.25,177.74,172.21
32,2021-12-13,175.74,153237000,181.115,182.13,175.53
33,2021-12-10,179.45,115402700,175.205,179.63,174.69
34,2021-12-09,174.56,108923700,174.91,176.75,173.92
35,2021-12-08,175.08,116998900,172.125,175.96,170.7
36,2021-12-07,171.18,120405400,169.08,171.58,168.34
37,2021-12-06,165.32,107497000,164.29,167.8799,164.28
38,2021-12-03,161.84,118023100,164.02,164.96,159.72
39,2021-12-02,163.76,136739200,158.735,164.2,157.8
40,2021-12-01,164.77,152423000,167.48,170.3,164.53
41,2021-11-30,165.3,174048100,159.985,165.52,159.92
42,2021-11-29,160.24,88748220,159.37,161.19,158.7901
43,2021-11-26,156.81,76959750,159.565,160.45,156.36
44,2021-11-24,161.94,69463620,160.75,162.14,159.64
45,2021-11-23,161.41,96041900,161.12,161.8,159.0601
46,2021-11-22,161.02,117467900,161.68,165.7,161.0
47,2021-11-19,160.55,117305600,157.65,161.02,156.5328
48,2021-11-18,157.87,137827700,153.71,158.67,153.05
49,2021-11-17,153.49,88807000,150.995,155.0,150.99
50,2021-11-16,151.0,59256210,149.94,151.488,149.34
51,2021-11-15,150.0,59222800,150.37,151.88,149.43
52,2021-11-12,149.99,63804010,148.43,150.4,147.48
53,2021-11-11,147.87,40999950,148.96,149.43,147.681
54,2021-11-10,147.92,65187090,150.02,150.13,147.85
55,2021-11-09,150.81,56787930,150.2,151.428,150.0601
56,2021-11-08,150.44,55020870,151.41,151.57,150.16
57,2021-11-05,151.28,65463880,151.89,152.2,150.06
58,2021-11-04,150.96,60394620,151.58,152.43,150.64
59,2021-11-03,151.49,54511530,150.39,151.97,149.82
60,2021-11-02,150.02,69121990,148.66,151.57,148.65
61,2021-11-01,148.96,74588260,148.985,149.7,147.8
62,2021-10-29,149.8,124953200,147.215,149.94,146.4128
63,2021-10-28,152.57,100077900,149.82,153.165,149.72
64,2021-10-27,148.85,56094930,149.36,149.73,148.49
65,2021-10-26,149.32,60893400,149.33,150.84,149.0101
66,2021-10-25,148.64,50720560,148.68,149.37,147.6211
67,2021-10-22,148.69,58883440,149.69,150.18,148.64
68,2021-10-21,149.48,61420990,148.81,149.64,147.87
69,2021-10-20,149.26,58418790,148.7,149.7539,148.12
70,2021-10-19,148.76,76378890,147.01,149.17,146.55
71,2021-10-18,146.55,85589180,143.445,146.84,143.16
72,2021-10-15,144.84,67940330,143.77,144.895,143.51
73,2021-10-14,143.76,69907100,142.11,143.88,141.51
74,2021-10-13,140.91,78762720,141.235,141.4,139.2
75,2021-10-12,141.51,73035860,143.23,143.25,141.0401
76,2021-10-11,142.81,64452220,142.27,144.81,141.81
77,2021-10-08,142.9,58773160,144.03,144.1781,142.56
78,2021-10-07,143.29,61732660,143.06,144.215,142.72
79,2021-10-06,142.0,83221120,139.47,142.15,138.37
80,2021-10-05,141.11,80861060,139.49,142.24,139.36
81,2021-10-04,139.14,98322010,141.76,142.21,138.27
82,2021-10-01,142.65,94639580,141.9,142.92,139.1101
83,2021-09-30,141.5,89056660,143.66,144.378,141.28
84,2021-09-29,142.83,74602040,142.47,144.45,142.03
85,2021-09-28,141.91,108972300,143.25,144.75,141.69
86,2021-09-27,145.37,74150730,145.47,145.96,143.82
87,2021-09-24,146.92,53477870,145.66,147.4701,145.56
88,2021-09-23,146.83,64838170,146.65,147.08,145.64
89,2021-09-22,145.85,76404340,144.45,146.43,143.7001
90,2021-09-21,143.43,75833960,143.93,144.6,142.78
91,2021-09-20,142.94,123478900,143.8,144.84,141.27
92,2021-09-17,146.06,129868800,148.82,148.82,145.76
93,2021-09-16,148.79,68034150,148.44,148.97,147.221
94,2021-09-15,149.03,83281320,148.56,149.44,146.37
95,2021-09-14,148.12,109296300,150.35,151.07,146.91
96,2021-09-13,149.55,102404300,150.63,151.42,148.75
97,2021-09-10,148.97,140893200,155.0,155.48,148.7
98,2021-09-09,154.07,57305730,155.49,156.11,153.95
99,2021-09-08,155.11,74420210,156.98,157.04,153.975
100,2021-09-07,156.69,82278260,154.97,157.26,154.39
101,2021-09-03,154.3,57866070,153.76,154.63,153.09
102,2021-09-02,153.65,71171320,153.87,154.72,152.4
103,2021-09-01,152.51,80313710,152.83,154.98,152.34
104,2021-08-31,151.83,86453120,152.66,152.8,151.29
105,2021-08-30,153.12,90956720,149.0,153.49,148.61
106,2021-08-27,148.6,55802390,147.48,148.75,146.83
107,2021-08-26,147.54,48597200,148.35,149.12,147.51
108,2021-08-25,148.36,58991300,149.81,150.32,147.8
